report_text,report_type,location,department,activity,life_saving_rule,barrier_failure,potential_consequence,sif_label
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during the morning shift,Unsafe Act,Digboi Field,Electrical,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during the morning shift,Unsafe Condition,Numaligarh Terminal,Electrical,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during the morning shift,Near Miss,Numaligarh Terminal,Maintenance,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during the morning shift,Incident,Bongaigaon Refinery,Maintenance,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during the morning shift,Unsafe Condition,Lakwa Production,Process Safety,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during the morning shift",Near Miss,Guwahati Depot,Drilling,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during the morning shift,Unsafe Act,Jorhat Pipeline,Production,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during the morning shift,Unsafe Condition,Duliajan Central,Projects,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during planned work,Unsafe Act,Numaligarh Terminal,Maintenance,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during planned work,Unsafe Condition,Numaligarh Terminal,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during planned work,Near Miss,Guwahati Depot,Projects,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during planned work,Incident,Bongaigaon Refinery,Logistics,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during planned work,Unsafe Condition,Digboi Field,Electrical,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during planned work",Near Miss,Numaligarh Terminal,Logistics,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during planned work,Unsafe Act,Bongaigaon Refinery,Projects,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during planned work,Unsafe Condition,Bongaigaon Refinery,Production,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. near the main work area,Unsafe Act,Jorhat Pipeline,Production,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. near the main work area,Unsafe Condition,Digboi Field,Drilling,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. near the main work area,Near Miss,Digboi Field,Logistics,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. near the main work area,Incident,Lakwa Production,Electrical,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. near the main work area,Unsafe Condition,Numaligarh Terminal,Production,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. near the main work area",Near Miss,Digboi Field,Production,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. near the main work area,Unsafe Act,Guwahati Depot,Maintenance,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. near the main work area,Unsafe Condition,Numaligarh Terminal,Drilling,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. reported by the field supervisor,Unsafe Act,Bongaigaon Refinery,Process Safety,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. reported by the field supervisor,Unsafe Condition,Numaligarh Terminal,Drilling,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. reported by the field supervisor,Near Miss,Guwahati Depot,Logistics,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. reported by the field supervisor,Incident,Jorhat Pipeline,Drilling,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
